Question,answer,A,B,C,D,E
患者病久，肢体关节疼痛，屈伸不利，关节肿大、僵硬、变形，肌肉萎缩，舌质暗，脉细涩。治法为(    )。,B,益气养血，舒筋活络,补肾祛寒，活血通络,祛风散寒，化瘀通络,温经散寒，祛风除湿,
薏苡仁汤用于治疗(    )。,C,行痹,痛痹,着痹,热痹,
痹病的治疗大法为(    )。,D,祛风通络，散寒除湿,温经散寒，活血通络,益气养血，舒筋活络,祛邪活络，缓急止痛,
痿病与痹病的鉴别要点是(    )。,A,肢体关节痛与不痛,肢体活动自如与否,肌肉是否萎缩,肢体是否麻木,
痉病的病位在(    )。,C,皮毛,肌肉,筋脉,筋骨,
痉病与痫病的共同症状是(    )。,B,突然仆倒,四肢抽搐,昏不识人,忽作忽止,
痉病的基本病机为(    )。,B,筋脉失养而挛急,肢体筋脉拘急失养,肌肉筋脉失养,筋脉肌肉失养失控,
痉病邪壅经洛，若寒甚无汗，治宜(    )。,D,活血通络,益气养血,平肝熄风,解肌发汗,
痉病之邪壅经络，若风邪甚，项背强直，发热不恶寒，头痛汗出，苔薄白，脉细者。方宜选用(    )。,D,葛根汤,白虎加桂枝汤,羌活胜湿汤,瓜蒌桂枝汤,
治疗痉病虚证宜(    )。,B,益气化瘀,滋阴养血,养阴清热,和营生津,
症见头痛如刺，项背强直，形瘦神疲，四肢抽搐，舌质紫暗，脉细涩。治法为(    )。,C,祛风散寒，化湿通络,益气补血，缓急止痉,益气化瘀，活络止痉,化痰通络，熄风止痉,
羚麻白虎汤用于何型痉病(    )。,B,邪壅经络,热甚发痉,温热致痉,瘀血内阻,
痉病的治疗大法是(    )。,B,祛邪扶正,舒筋解痉,扶正益损,益气化瘀,
患者发热胸闷，心烦急躁，口噤蚧齿，项背强急，角弓反张，腹胀便秘，苔黄腻，脉弦数。证属(    )。,C,温热致痉,邪壅经络型痉病,热甚发痉,瘀血内阻型痉病,
患者产后失血，四肢抽搐，项背强急，头晕目眩，自汗气短，苔薄少津，脉沉细。治疗的主方为(    )。,C,羌活胜湿汤,大定风珠汤,圣愈汤,增液承气汤,
三仁汤所治痉病其病因是(’    )。,B,风寒湿邪壅阻于经,湿热之邪留滞于络,外感火热之邪,情志过激内生肝火,
温热致痉的治法为(    )。,A,泄热存阴，增液柔筋,清热透络，镇痉止抽,清热化湿，通络和营,滋阴潜阳，熄风止痉,
痿病与(    )脏腑密切相关。,D,肝脾肺胃,肝肾肺胃,肝脾肾胃,肝脾肺肾,
痹病出现下列(    )情况则预后不良。,B,关节疼痛剧烈,关节变形,壮热烦渴,肌内萎缩,心悸浮肿
《内经》有关痉病病因的论述有(    )。,A,诸痉项强，皆属于湿,诸暴强直，皆属于风,阴虚血少，筋脉失养,经筋之病，寒则反折筋急,
痉病临证时应分辨(    )。,B,外感内伤,虚实寒热,表里寒热,脏腑虚实,标本虚实
颤震的发病特点为(    )。,C,具有头部及肢体摇动、颤抖的临床特征,多见于急性热病或慢性病急性发作,多发于中老年人，男性多于女性,起病隐袭，渐进加重，不能自行缓解,以手足屈伸牵引、发热、神昏为主症
肺癌发病的主要基础是(    )。,D,烟毒内侵,邪毒内侵,痰湿聚肺,正气内虚,
早期肺癌获得治愈和远期疗效的可靠手段是(    )。,A,手术治疗,中药配合放化疗,放疗,化疗,
肺癌咳嗽，咯黄白粘痰，胸闷胸痛，纳呆便溏，辨证为(    )证型。,D,气血瘀滞,气阴两虚,阴虚毒热,痰湿蕴肺,
治疗气滞血瘀型肺癌的主方是(    )。,C,复元活血汤,柴胡疏肝散,血府逐瘀汤,逍遥散,
提出以息贲丸治疗肺癌(肺积)的医家是(    )。,B,张景岳,李东垣,朱丹溪,张从正,
治疗肺癌气阴两虚型的主方是(    )。,B,百合固金汤,生脉饮合百合固金汤,竹叶石膏汤,沙参麦冬饮,
痞癖相当于现代医学的(    )。,A,胃癌,肝癌,大肠癌,肺癌,
沙参麦冬汤合五味消毒饮治疗(    )型肺癌。,C,气血瘀滞,气阴两虚,阴虚毒热,痰湿蕴肺,
把握肺癌扶正祛邪治则和合理遣方用药的关键是(    )。,A,辨邪正盛衰,辨病的早中晚期,辨证候虚实,辨标本缓急,
肺癌患者最常见的早期症状是(    )。,B,胸痛,咳嗽,咯血,发热,
肝癌的基本病机是(    )。,A,肝郁气滞,湿热内蕴,肝失疏泄,肝阴亏虚,
肝癌患者突发剧烈腹痛和腹膜刺激征，提示(    )。,D,合并肝硬化腹水,消化道出血,肝昏迷,癌肿破溃,
肝癌早期病理性质为(    )。,A,邪实为主,正虚为主,虚实夹杂,本虚邪实,
肝癌合并血证，是因(    )。,B,肝火犯胃,肝不藏血脾不统血,血热妄行,气滞血瘀,
肝癌的治疗应重视(    )的应用。,A,活血化瘀,清热利湿,疏肝理气,消积散结,
肝癌气滞血瘀的主方是(    )。,B,调营饮,复元活血汤,桃仁承气汤,血府逐瘀汤,
肝癌日久可转为(    )。,D,血证,昏迷,黄疸,鼓胀,
肝癌后期出现阴阳两虚者，宜选用(    )。,A,金匮肾气丸,附子理中丸,薯蓣丸,济生肾生丸,
肝阴亏虚型肝癌的主方是(    )。,D,补肝汤,茵陈蒿汤合四物汤,归脾汤,一贯煎,
肝阴亏虚型肝癌，出现黄疸者，可合用(    )。,C,麻黄连翘赤小豆汤,茵陈五芩散,茵陈蒿汤,栀子柏皮汤,
湿热聚毒型肝癌的主方是(    )。,C,茵陈蒿汤,五味消毒饮合沙参麦冬饮,五味消毒饮,甘露消毒丹,
肝气郁结型肝癌，方用(    )。,D,四逆散,柴胡疏肝散,逍遥散,苏子降气汤,
下列(    )症状属肝癌的标实之证。,B,形体消瘦,右胁肿块疼痛,纳差,脘腹胀闷,面色萎黄
对肝癌具有诊断意义的检查是(    )。,E,肝区,超,肝功能检查,血常规,甲胎球蛋白
肝癌的辨证要点包括(    )。,A,辨虚实,辨寒热,辨危候,辨阴阳,辨预后
胃癌的临床特征是(    )。,A,脘腹饱胀或疼痛,纳呆,消瘦,黑便,脘腹积块
胃癌的辨证要点是(    )。,A,辨证候虚实,辨胃气的有无,辨危候,辨寒热,辨脏腑
胃癌的早期首发症状为(    )。,A,胃脘疼痛,嗳气作胀,脘部积块,胃纳不佳,大便色黑
晚期胃癌可合并(    )。,C,肝肿大,黄疸,大量便血,呕血,咳血
胃癌须与(    )病证相鉴别。,A,胃痛,泄泻,痞满,便血,黄疸
肺痈恢复期的治疗原则是(    )。,A,养阴益气，扶正祛邪,养阴益气，清肺排毒,扶正祛邪，滋养肺阴,养肺滋阴，扶正排毒,
滋水清肝饮治疗郁病的证型为(    )。,A,肝阴亏虚,气郁化火,痰气郁结,肝气郁结,
下列(    )不是痿病的病因。,A,外感风寒,肺热伤津,脾胃亏虚,肝肾亏损,
后人评价为“列证最详，论治最精”的外科文献是：,A,《外科正宗》,《疡医大全》,《外科精义》,《外科大成》,《外科全生集》
六淫邪毒均可引起外科疾病的发生，其中最常见的是：,C,风温、风热,湿热、湿火,火毒、热毒,风寒、燥火,外感、邪毒
疥疮患者外生殖器最常见的皮损是：,E,丘疹,丘疱疹,水疱,隧道,结节
凡发于人体中部的外科疾病，其病因多为：,B,湿热、火毒,气郁、火郁,火毒、热毒,风温、风热,寒湿、湿热
气火有余时的脓液表现为：,B,脓液黄白稠厚，色泽鲜明,脓液黄浊质稠，色泽不洁,脓液黄白质稀，色泽洁净,脓色绿黑稀薄,脓色如姜汁
下列急性淋病男性患者的临床症状哪项不是：,D,尿道刺痛,脓性分泌物,尿道口红肿,前列腺及睾丸肿痛,尿频、尿痛
最可能的中医诊断是：,B,乳痈,乳癖,乳岩,乳疬,乳核
应诊断为何病？,C,流注,流痰,附骨疽,臀痈,环跳疽
金黄散的功效是,B,温经活血，散寒化痰,清热消肿，散瘀化痰,活血定痛，散瘀消肿,消肿清火，解毒生肌,移深居浅，消肿散毒
下列疾病与感受特殊之毒无关：,D,药物性皮炎,狂大病,破伤风,水火烫伤,漆疮
肿物赘生于人体，坚硬如石，形状不规则的称之为：,D,瘤,疽,疔,岩,疖
皮损有明显渗液者宜用：,D,熏洗剂,散剂,软膏,粉水剂,以上都不是
肿疡溃后脓水稀少，坚肿不消，身热乏力，面色少华，脉数乏力，治宜,D,内托法,补法,透脓法,补托法,泻法
外科病名以病因命名者是：,D,委中毒,瘤,岩,冻疮,人中疔
走窜无定遍体作痒，抓破血溢，随破随收，多不化脓，其致痒原因是：,A,风邪,湿邪,热邪,虫淫,血虚
下述论点错误的是：,D,凡疮疡初起之时可用消法,外科非化脓性肿块性疾病可用消法,形症已成不可用消法,托法只能用在疮疡脓腐形成之时,治疡之要，未成者必求其消
神经性皮炎的基本损害为：,A,苔藓样变,浸润肥厚,扁平多角形丘疹,磷屑性斑片,抓痕、血痂
丹毒发病部位不同有不同的病名，如发于躯干部者称：,D,赤游丹毒,抱头火丹,流火,内发丹毒,大脚风
下列具有传染性的疾病是：,B,发颐,痄腮,热疮,疔疮,多发性疖
疖病发生的主要原因是：,C,湿邪缠绵,瘀血阻滞,正气不足,肾气亏损,火毒内蕴
损伤后，局部肿胀青紫，痛有定处，痛处局限，有明显的压痛点者，属何种病机：,D,气滞,气虚,气逆,血瘀,血虚
回旋挤压试验（Mc Murray试验）主要用于检查：,A,膝关节半月板损伤,膝关节十字韧带损伤,膝关节外侧副韧带损伤,膝关节内侧副韧带损伤,膝关节游离体
按损伤三期辨证治法的原则，下列不属于初期治法的是：,E,攻下逐瘀法,行气消瘀法,清热凉血法,开窍活血法,和营止痛法
下列哪种情况不是小夹板固定的适应症：,E,四肢闭合性骨折,开放性骨折创面小,四肢陈旧性骨折已手法整复,关节内骨折已整复,四肢骨折但水肿较严重
某患者右大腿外伤后出现了下列体征，可用来初步诊断为骨折的体征是：,C,局部高度肿胀和瘀斑,主动活动丧失,异常活动,疼痛剧烈,局部压痛敏锐
有一患者长时间步行引起第2跖骨颈骨折，问病因是何种外力：,D,间接暴力,拼力岔气,直接暴力,持续劳损,肌肉牵拉
不属于腕管综合征表现的是：,B,大鱼际肌萎缩,小鱼际肌萎缩,拇指外展、对掌无力,叩击试验阳性,
肩关节周围炎可出现的阳性体征是：,C,直尺试验,搭肩试验,肩外展试验,“疼痛弧”征,臂丛牵拉试验
半月板损伤最常用的检查试验是：,A,回旋挤压试验,直腿抬高试验,“4”字试验,浮髌试验,叩击试验
肱骨干中下段骨折如引起桡神经损伤会出现：,A,腕下垂，拇指不能外展和背伸，虎口区麻木,爪形手,拇指不能对掌运动,拇指不能向掌侧运动,第1、2指不能屈曲
眩晕型颈椎病的最大特点是：,D,头痛,猝倒,行走不稳,头颅旋转时眩晕,伴有植物神经紊乱症状
骨折早期用药宜：,A,活血化瘀，消肿止痛,祛瘀止痛，通经活络,壮筋骨，养气血，补肝肾,通痹止痛,接骨续筋
以下变化除哪项外，均可造成脊髓损伤：,C,椎体脱位又自行复位,关节突骨折脱位,棘突骨骨折,椎板骨折并有移位,以上都不是
现代医学认为骨关节炎的主要病变是：,D,结核杆菌侵入骨关节,关节软骨的退行性变,继发性骨质增生,关节软骨的退行性变和继发性骨质增生,以上都不是
股骨颈囊内骨折的后期并发症是：,C,髋内翻畸形,髋关节炎,股骨头缺血性坏死,髋关节半脱位,髋关节结核
肱骨干骨折手法整复时，若牵引力过大，容易：,C,肌肉痉挛,血管痉挛,骨断端分离移位,肘外翻,以上都不是
早期骨结核与类风湿性关节炎可靠的鉴别诊断依据是：,D,单一关节肿胀,血沉增快,X线平片关节间隙有无狭窄,活组织检查,关节穿刺抽液行关节液检查
脱位后出现的特征是：,E,骨擦音,疼痛,异常活动,畸形,弹性固定
“捻发音”的检查主要用在：,D,腰肌筋膜炎,臀肌筋膜炎,腱鞘炎,腱周围炎,滑膜炎
关节脱位最为常用的整复手法是：,D,旋转屈伸,提按捺正,足蹬膝顶,拔伸牵引,夹挤分骨
目前公认我国第一部眼科专著是：,A,《龙树眼论》,《刘皓眼论准的歌》,《天竺经论眼》,《葆光道人眼科龙木集》,以上都不是
最早记载关于针拨白内障的是：,B,《千金要方》,《外台秘要》,《太平圣惠方》,《银海精微》,《诸病源候论》
最先记载用眼镜矫正视力见于：,C,明朝,唐朝,宋朝,清朝,解放后
下列除哪些眼病外均可引起传染：,A,针眼,天行赤眼,天行赤眼暴翳,暴风客热,椒疮
以发病急剧，胞睑及白睛高度红赤壅肿，眵多如脓，易引起黑睛生翳溃损为主要特征的眼病是：,A,脓漏眼,金疳,天行赤眼,天行赤眼暴翳,暴风客热
以遮盖法检查斜视时，遮盖右眼，左眼注视，将遮板迅速移遮左眼时，若右眼移向鼻侧，则属：,A,外斜视,内斜视,旋转斜视,垂直斜视,眼球震颤
金疳的病证有：,E,肺经郁火证,心肺风热证,肺胃火炽证,肺肾阴虚证,肺脾亏虚证
属于血管性疾病引起的眼病是：,C,突起睛高,鹘眼凝睛,珠突出眶,眼眶假瘤,以上都不是
主要用于外感风热眼病的内治法是:,C,泻火解毒法,滋阴降火法,祛风清热法,退翳明目法,活血化瘀法
退翳明目法主要用于:,A,消退黑睛翳障,清除眼内陈旧渗出,消散眼内瘀滞,祛除湿邪,祛除风热所致眼病
"针眼脓肿成熟, 脓头位于眼睑皮肤面者, 治疗应:",A,"切开排脓,切口应与睑缘平行, 以免损伤眼轮匝肌","切开排脓,切口应与睑缘垂直,以免损伤提上睑肌","切开排脓,充分挤压以使脓液完全排出","切开排脓,并于创口内注入30%黄连液",以上各项均可
脓耳的预防与调护以下哪一项不适宜：,C,防止擤鼻用力过度,防止污水入耳,流脓多时注意止脓,戒除不良挖耳习惯,婴幼儿哺乳注意姿势和方法
下列那一种病不宜用麻黄素滴鼻液：,D,鼻鼽,鼻窒,鼻渊,鼻槁,鼻息肉
喉瘖的突出症状是：,C,咽喉疼痛剧烈,吞咽困难,声嘶,发热,呼吸困难
下列哪项不是咽喉科常用的外治法：,A,开音法,吹药法,含漱法,雾化吸入法,噙化法
耳疖多发生于：,D,耳廓,耳屏,耳周,外耳道,鼓膜
下列那些疾病患者可出现耳鸣耳聋：,D,耳胀,耳闭,脓耳,耳眩晕,外耳道异物
引起鼻渊的常见病因病机是：,B,肺经风热,胆腑郁热,脾胃湿热,胃火炽盛,肝火上扰
患者4岁，咽痛2天，声音嘶哑，恶寒，发热，喉核有白色假膜不易剥离，应考虑：,C,风热感冒,乳蛾,白喉,喉喑,喉痹
乳蛾可诱发全身并发症为：,B,痹证,水肿,心悸,胃脘痛,怔忡
男30岁，经常鼻塞2年，交替性，安静时加重，双下鼻甲肿胀，无分泌物，应诊断为：,B,伤风鼻塞,鼻窒,鼻鼽,鼻渊,鼻息肉
急喉风最主要的特征是：,A,吸气性呼吸困难,咽喉红肿疼痛,语言难出,痰涎壅盛,汤水难下
检查口咽部时，用压舌板轻压病人舌部的最适宜位置是：,B,舌前1/3,舌前2/3,舌前1/2,舌前3/4,舌前3/5
外科病名的最早记载见于,C,《 五十二病方》,《 刘涓子鬼遗方》,甲骨文,《 黄帝内经》,《 周礼》
我国现存最早的医书是,E,《 黄帝内经》,《 金创瘾疯方》,《 肘后备急方》,《 刘涓子鬼遗方》,《 五十二病方》
