我国现存第一部脉学专著是,B,《难经》,《脉经》,《中藏经》,《脉神章》,《濒湖脉学》
《察病指南》是诊法专著，其作者是,C,李中梓,李东垣,施发,陈言,杜清碧
曹炳章所著的舌诊专著是,E,《伤寒舌鉴》,《观舌心法》,《伤寒金镜录》,《察舌辨证新法》,《彩图辨舌指南》
我国第一部论述病源与证候诊断的专著，成书于,B,汉代,隋代,宋代,元代,明代
中医诊断学的三大原则是,A,整体审察 诸诊合参病证结合,舍症从脉舍脉从症 脉症合参,辨证求因 审因论治依法处方,证候真假证候错杂 四诊合参,表里出入 寒热转化虚实转化
我国第一部论述病源与证候诊断的专著是,C,《伤寒杂病论》,《三因极一病证方论》,《诸病源候论》,《内经》,《察病指南》
论舌的第一部专著是,D,《舌鉴》,《彩图辨舌指南》,《点点金》,《伤寒金镜录》,《望诊遵经》
首先讨论阴阳与六变的是,B,《内经》,《景岳全书·传忠录》,《难经》,《伤寒杂病论》,《医学心悟》
《脉经》的作者是,E,张仲景,叶天士,王叔和,巢元方,孙思邈
林之翰所著的四诊专著是,A,《四诊抉微》,《四诊心法要诀》,《四诊韵语》,《四诊法》,《察病指南》
创立卫气营血辨证方法的医家是,A,叶天士,张仲景,吴鞠通,汪宏,吴又可
最早开始记录病人的姓名举止病状以及方药等作为诊疗的原始资料的医家是,E,叶天士,张仲景,张介宾,汪宏,淳于意
对黄疸病人做实验观察并做早期记载的是,D,《伤寒杂病论》,《三因极一病证方论》,《诸病源候论》,《肘后备急方》,《察病指南》
论述危重疾病的“十怪脉”的医家是,B,李东垣,危亦林,吴鞠通,汪宏,张仲景
可用“离、合、出、 A入”概括其循行分布特点的是,B,十五别络,十二经别,十二经筋,十二经脉,奇经八脉
素体阳虚又感受寒邪的患者，治以助阳解表法，应属于：,C,先治其标,先治其本,标本兼治,虚则补之,以上皆不是
疠气最主要的致病特点是：,D,发病急,病势重,症状相似,传染性强,老少皆能致病
下列哪一项属于肝脏病理中的虚者：,C,肝气郁结,肝火上炎,肝阳上亢,肝胆湿热,肝郁气滞
充养脑髓、滑利关节的主要是:,E,精,气,血,津,液
“通因通用”适用于下列哪种病证：,C,脾虚泄泻,肾虚泄泻,食积泄泻,气虚泄泻,寒湿泄泻
病人腹胀，下午尤甚，纳差、便溏3个月，近来伴心悸、失眠、多梦。舌淡，脉细弱无力。诊为：,D,心血不足,脾气虚弱,脾阳不足,心脾两虚,心肝血虚
患者平素沉默寡言，性格内向，近月余观精神过度抑郁，胸闷太息，纳呆腹胀，泄泻。诊为：,E,肝气郁结,脾失健运,心血不足,心神失养,肝脾不调
反映体质的体表形态标志是:,E,性征,体姿,体重,体型,体格
下列除哪项外，均属“五液”内容：,A,尿,涎,涕,泪,唾
易于感冒，是气的什么功能减弱的表现：,C,推动作用,温煦作用,防御作用,固摄作用,中介作用
临床出现自汗、多尿、出血、遗精等症，是气的哪一项功能减退：,D,推动与调控作用,温煦作用,防御作用,固摄作用,中介作用
临床上气的异常导致血失常时，下述哪一项不妥?,C,血虚,血脱,血燥,血瘀,出血
《内经》所说：“大怒则形气绝，而血菀于上，使人薄厥”的病机，是指：,D,气不摄血,气机逆乱,血随气脱,血随气逆,血随气结
历代医家尊之为“医家之宗”的医学著作是：,A,《黄帝内经》,《难经》,《伤寒杂病论》,《神农本草经》,《温病条辨》
《补注黄帝内经素问》的作者是：,A,王冰,杨上善,张景岳,全元起,高士宗
《素问·阴阳应象大论》指出药食气味中气厚的性能是：,E,宣散,通,呕,发泄,发热
据《素问·六节藏象论》论述，十一藏的功能取决于何藏？,E,肝,心,脾,肾,胆
下列除哪项外，反映了《素问·五藏别论》“魄门亦为五藏使”的含义:,C,魄门的启闭，依赖于心神的主宰。,魄门的启闭，依赖于肝气的条达，脾气的升提。,魄门的启闭，依赖于胃气的下降。,魄门的启闭，依赖于肺气的宣降。,魄门的启闭，依赖于肾气的固摄。
《素问·经脉别论》“府精神明，留于四脏”之“四脏”是指:,C,心肺肝脾,心肺肝肾,心肝脾肾,心肺脾肾,脾肺肝肾
《灵枢·营卫生会》指出，营卫五十而复大会的时间是:,A,子时,寅时,午时,酉时,亥时
《素问·生气通天论》有“阴者，藏精而起亟也；阳者，卫外而为固也”说明:,C,阴阳对立,阴阳偏盛,阴精和阳气的生理关系,阴精和阳气的病理关系,阴阳各自的生理关系
《素问·举痛论》指出：气泄的病因是:,E,恐,悲,惊,劳,炅
据《素问·咳论》冬季肺受病，是从何脏传来？,E,心,肺,肝,脾,肾
《素问·痹论》湿邪引起的痹证是:,E,行痹,筋痹,痛痹,骨痹,着痹
哪项治法属反治:,C,散者收之,劳者温之,甚者从之,客者除之,坚者削之
《素问·脉要精微论》中，肺的应时常脉是:,D,规,矩,代,衡,权
《素问·阴阳应象大论》，诊法纲领是:,E,审机求属,望闻问切,五决为纪,辨标本,先别阴阳
《素问·上古天真论》指出人体生长发育的关键是:,D,五脏气充,天癸形成,水谷摄入,肾气充盛,三焦气化
《素问·四气调神大论》春夏养阳秋冬养阴观点是:,A,春夏顺其生，秋冬顺其藏,阳为阴根,春阳外盛,应养内虚阳,顺其气
《素问·阴阳应象大论》“精不足”的治法:,D,发之,扬之,掣引之,补之以味,温之以气
《素问·生气通天论》“首如裹”的病因:,D,寒,火,暑,湿,气
《素问·生气通天论》烦劳则张，精厥的病机是:,A,煎厥,大厥,薄厥,气厥,寒厥
阴阳学说的基本内容有,A,阴阳对立制约,阴阳互根互用,阴阳消长平衡,阴阳相互转化,阴阳偏盛偏衰
与血液运行关系密切的脏是,A,心,肝,脾,肺,肾
以下何脏腑与水液代谢有关,B,肺,脾,肾,三焦,膀胱
"五脏之中,与饮食物的消化吸收关系密切的有",A,心,肝,脾,肺,肾
“气为血之帅”，具体表现为,A,气能生血,气能行血,气能摄血,血能载气,血能生气
气的生理功能有,A,推动作用,温煦作用,防御作用,固摄作用,气化作用
六淫致病的共同特点是,B,外感性,季节性,地区性,相兼性,转化性
寒邪的性质和致病特点是,A,黏滞,凝滞,收引,"趋下
E 重浊",
引起疾病的常见原因是,A,六淫,七情,疠气,药邪,医过
风邪的性质和致病特点是,A,轻扬开泄,善行数变,主动,易耗气伤津,为百病之长
下列哪些是疠气的致病特点,A,"传染性强,易于流行","发病急骤,病情危笃","一气一病,症状相似",转化性,地区性
正气是指,A,人体的机能活动,抗邪能力,驱邪外出的能力,康复能力,对外界环境的适应能力
疾病复发的诱因是,A,复感新邪,食复,劳复,药复,伏邪
虚证临床可见到,A,五心烦热,脉实有力,久病消耗精气,畏寒肢冷,食积不化
实证临床可见到,B,二便不通,脉实有力,瘀血内阻,心悸气粗,水湿泛滥
“因人制宜”主要根据病人的什么不同特点来考虑治疗用药,A,饮食偏嗜,性别,劳逸损伤,年龄,体质
“因时制宜”原则是指,C,夏季慎用温热,冬季慎用寒凉,暑邪致病应解暑化湿,秋季外感宜辛温发散,冬季宜食热性食物
中医学“治未病”的预防思想包括,C,辨证求因,因时制宜,未病先防,既病防变,审因论治
下列哪些属于“治未病”的内容,C,治病求本,急则治其标,调摄精神,加强锻炼,先安未受邪之地
我国正常人的面色是,A,五色鲜明,夏季稍黄,红黄隐隐,明润含蓄,秋季稍白
红绛舌，常见于,A,里实热证,阴虚火旺证,气虚血瘀证,痰瘀内阻证,食滞气郁证
望舌时应注意,A,光线,染苔,伸舌姿势,年龄体质,禀赋
腻苔主病为,A,湿浊,痰饮,食积,胃气虚,邪热有余
痛证可见下列何脉,B,弦脉,紧脉,缓脉,代脉,迟脉
四气的临床意义,A,根据病证的寒热择药,根据病证寒热程度择药,寒热错杂者，寒热并用,真寒假热者，治以热药,真热假寒者，治以寒药
入心经清心火宜选,B,淡竹叶,黄连,栀子,黄芩,青蒿
既能平肝阳又能息肝风的药物是,A,珍珠,钩藤,天麻,全蝎,蚯蚓
用药禁忌主要包括,A,配伍禁忌,病证用药禁忌,妊娠用药禁忌,饮食禁忌,十八反
长于清泄肺热的药物是,B,黄芩,黄连,地骨皮,石膏,桑白皮
苦杏仁、桃仁的共同功效是,A,活血化瘀,止咳平喘,宣肺利水,润肠通便,消痈排脓
甘草功能补脾益气、润肺止咳、缓急止痛、清热解毒，可用于解下列哪些毒,A,痈肿疮毒,水火烫伤毒,农药中毒,食物中毒,药物中毒
下列哪些药物能治肠燥便秘,A,火麻仁,郁李仁,桃仁,杏仁,芒硝
利水渗湿药适应的病证是,A,淋证,痰饮证,水肿证,小便不利,黄疸
下列哪些药物具有安胎作用,C,砂仁,黄芩,杜仲,菟丝子,桑寄生
平肝明目，治疗肝阳上亢眩晕宜选,A,白芷,荆芥,桑叶,葛根,菊花
麻黄汤的药物组成有（应为组成没有）,A,薄荷,麻黄,杏仁,桂枝,甘草
凡服用解表剂后宜,D,宜大汗,宜避风寒,宜无汗,宜微汗,宜增加衣被
逍遥散主治证的病机是,A,肝郁,血瘀,血虚,血热,脾弱
白虎汤用于以下病证,A,壮热而赤,烦渴引饮,汗出恶热,喘咳,脉洪大有力
以六一散以基础方加味组成的方剂是,A,益元散,碧玉散,鸡苏散,鸡鸣散,清暑益气汤
阳和汤中用麻黄之目的在于,A,辛温达卫、宣通经络,引阳气、开寒结,宣肺平喘,发越阳气,利水消肿
四君子汤与理中丸共有的药物是,A,人参,白术,茯苓,炙甘草,干姜
凉开三宝指的是,A,紫雪,安宫牛黄丸,朱砂安神丸,至宝丹,紫金锭
下列哪些是滚痰丸的组成药物,A,大黄,半夏,黄芩,礞石,沉香
下面哪些属于“八法”内容,A,消法,和法,吐法,散法,补法
保和丸的主治是,A,肉食之积,米食之积,酒食之积,面食之积,一切食积
白虎汤的组成,A,石膏,知母,甘草,滑石,粳米
内服驱虫剂的注意事项,A,空腹服药，忌食油腻,注意有毒药物的剂量,年老体弱及孕妇慎用或忌用,药后应注意调理脾胃,多用丸剂，不用煎剂
手三阴经是指,A,手太阴肺经,足厥阴肝经,手少阴心经,足太阴脾经,手厥阴心包经
下列针灸治疗体现循经取穴的是,A,肚腹三里留,头项寻列缺,面口合谷收,多汗取复溜,乳少取少泽
经络的作用是,B,联系脏腑,运行气血,屈伸关节,抗御病邪,保卫机体
腧穴的分类有,A,交会穴,经穴,奇穴,特定穴,阿是穴
有固定名称和固定位置的是,B,奇穴,阿是穴,募穴,十四经穴,交会穴
足阳明胃经联络的脏腑器官有,A,耳,胃,心,口,鼻
足太阴脾经联络的器官有,A,咽喉,舌,鼻,目,耳
手指同身寸定位法包括,A,中指同身寸,拇指同身寸,简便定位法,解剖定位法,横指同身寸
行毫针针刺时的进针手法有,A,单手进针法,指切进针法,舒张进针法,提捏进针法,夹持进针法
针刺时出现的异常情况包括,A,晕针,滞针,弯针,断针,血肿
手太阳小肠经联系的器官有,A,耳,口,鼻,目,齿
灸法的作用有,A,温经散寒,扶阳固脱,消淤散结,防病保健,调节阴阳
针刺基本手法有,A,提插法,仰卧法,捻转法,震颤法,迎随法
拔罐法的作用有,A,通经活络,行气活血,消肿止痛,祛风散寒,清热泻火
拔罐的方法有,A,留罐法,走罐法,闪罐法,刺血拔罐法,留针拔罐法
起于胞中的经脉有,A,冲脉,带脉,任脉,阴维脉,督脉
行艾灸的禁忌有,A,实热证,阴虚发热者,孕妇的腹部,寒湿痹痛,痛经
可用于耳穴埋籽的材料有,A,王不留行籽,油菜籽,小米,绿豆,磁珠
“养生”属中医学特有的概念，它是以自我调摄为主要手段，以推迟衰老、延年益寿为目的的多种保健方法的综合，亦称为,A,摄生,生活,卫生,道生,保生
金元医学四大家，是指,A,刘完素,张子和,李东垣,朱丹溪,李时珍
“养肺”必须注重“宣降”特性，须在辨证施补基础上选用适应其性的,C,辛味发散药,下行通降药,甘淡渗湿药,辛热温阳药,活血化瘀药
构成维持生命活力，支配生命运动的重要物质,A,脾胃,肾,精,气,神
调节情志的主要方法有,A,清静法,陶冶法,制约法,宣泄法,药食法
传统健身运动的运用原则应遵循,A,因人而异,因时制宜,循序渐进,持之以恒,一步到位
食物的性味，古代简称为（   ）等,A,食气,食性,食味,食用,食疗
临床上常用利水消肿的食品有,A,赤小豆,冬瓜,薏苡仁,芝麻,羊肉
五味对人体的五脏有特定的亲和性，五味调和才能对五脏起到全面的补益作用，五味是指,A,辛,甘,酸,苦,咸
扶正药物的类别有,A,补气类,养血类,助寒类,助阳类,滋阴类
扶正药物的应用原则有,A,适时用药,因人用药,最重脾胃,宜偏宜过,忌偏忌滥
保健灸常用的强壮穴位有,B,足三里,神阙,曲池,关元,涌泉
患者发生喘脱，护士应做好哪些护理措施,A,立即汇报医生，积极配合抢救处理,予床边心电监护，加强巡视,准确记录患者心率、呼吸、面色、瞳孔、尿量等变化,艾灸气海、关元、百会、神阙,专人护理，做好各项生活护理
下列喘证健康教育措施中正确的是,A,劝导病人戒烟，平时避免接触刺激性气体及灰尘、花粉等,慎起居，适寒温，注意四时气候变化，随时增减衣被，以防外感,合理膳食，增加营养的摄入，提高机体抗病能力,适当锻炼，增强体质，加强呼吸肌功能锻炼，以改善呼吸功能,保持心情舒畅，避免不良情志刺激。慢性缺氧状况者，应坚持长期氧疗
以下病因中，属于血证主要病因的是,A,感受外邪,情志过极,饮食不节,劳倦过度,体虚久病
血证的病机可归纳为,A,火热薰灼，迫血妄,气虚不摄，血溢脉外,湿热内蕴，肝郁化火,胃失和降，气血不和,淤血阻络，血不循经
血证的治疗原则可归纳为哪几个,A,治火,滋阴,治气,温肾,治血
咯血与吐血均经口而出，但两者截然不同，咯血主要从哪几方面与吐血相鉴别,A,血由肺来，经气道随咳嗽而出,血色多为鲜红，常混有痰,咯血之前多有咳嗽、胸闷、喉痒等临床表现,大量咯血后，可见痰中带血数天,大便多呈黑色
"鼻衄多由火热迫血妄行所致，其中以（
）为常见",A,肺热,心火,胃热,阴虚火旺,肝火
吐血在现代医学中主要见于哪些疾病,A,上消化道出血,食管炎,急、慢性胃,胃粘膜脱垂,某些全身性疾病
胃热壅盛所致吐血的主要临床表现有哪些,A,脘腹胀闷，甚则作痛,吐血色红或紫黯，常夹有食物残渣,口苦胁痛，心烦易怒，寐少梦多,神疲乏力，心悸气短,大便色黑
尿血临床主要证型有哪些,A,下焦湿热,肾虚火旺,脾不统血,气虚血溢,阴虚火旺
